Carrier,Gross available energy,International maritime bunkers,International aviation,Transformation output,Transformation input - energy use,Energy sector - energy use,Energy sector - electricity and heat generation - energy use,Energy sector - coal mines - energy use,Energy sector - oil and natural gas extraction plants - energy use,Energy sector - petroleum refineries (oil refineries) - energy use,Distribution losses,Available for final consumption,"Transformation input, energy sector and final consumption in industry sector - non-energy use",Final consumption - transport sector - non-energy use,Final consumption - other sectors - non-energy use,Final consumption - industry sector - energy use,Final consumption - transport sector - rail - energy use,Final consumption - transport sector - road - energy use,Final consumption - transport sector - domestic aviation - energy use,Final consumption - transport sector - pipeline transport - energy use,Final consumption - other sectors - commercial and public services - energy use,Final consumption - other sectors - households - energy use,Final consumption - other sectors - agriculture and forestry - energy use,Statistical differences,Residual balance,Residual consumption
Ambient heat (heat pumps),15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.5,0.0,0.0,0.0,0.0
Electricity,3.2,0.0,0.0,646.7,4.0,95.2,46.2,17.1,0.8,11.1,33.3,517.3,0.0,0.0,0.0,202.7,11.6,0.2,0.0,0.4,189.7,110.1,2.5,0.0,0.1,0.1
Geothermal,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,0.0,0.0,0.0,0.0
Heat,1.4,0.0,0.0,308.4,2.4,26.7,5.0,3.3,0.0,0.3,30.5,250.1,0.0,0.0,0.0,38.5,0.0,0.0,0.0,0.0,40.8,170.0,0.8,0.0,0.1,-0.0
Manufactured gases,0.0,0.0,0.0,93.4,33.6,41.4,0.0,0.0,0.0,0.0,0.0,18.4,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
Natural gas,763.3,0.0,0.0,0.0,149.5,58.1,0.0,0.1,21.6,33.8,0.4,555.3,81.9,0.0,0.0,177.5,0.0,1.2,0.0,11.8,67.3,191.2,2.2,22.2,0.0,-0.0
Non-renewable waste,41.2,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,31.8,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,-0.1,0.1
Oil and petroleum products (excluding biofuel portion),1324.0,14.6,23.6,1194.2,1203.8,37.7,0.2,0.9,0.1,36.5,0.0,1238.5,114.9,5.0,12.9,37.9,3.8,908.3,1.3,0.0,17.7,26.1,100.8,9.7,0.0,0.1
Renewables and biofuels,547.7,0.0,0.0,40.4,210.7,0.0,0.0,0.0,0.0,0.0,0.0,377.4,0.0,0.0,0.0,67.3,0.0,46.9,0.0,0.0,12.5,226.5,24.2,0.0,0.0,0.0
Solar thermal,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.3,0.0,0.0,0.0,0.1
Solid fossil fuels,1922.3,0.0,0.0,273.9,1810.7,3.8,0.0,0.8,0.0,0.6,0.0,381.8,4.7,0.0,0.0,108.1,0.0,0.0,0.0,0.0,26.4,203.4,25.8,13.5,-0.1,-0.1
